topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,SM,B1,4,10,100600.0,122120.071,122120.071,130304.0,1.067,111488.0,94080.0,0.9129,0.7704,1,6,"(12, 4)|(14, 4)|(10, 4)|(23, 2)|(24, 2)|(11, 4)","(10, 4):10->4 || (11, 4):11->14->10->4 || (12, 4):12->14->10->4 || (14, 4):14->10->4 || (23, 2):23->10->4->7->2 || (24, 2):24->23->10->4->7->2",0.06,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,4,7,100600.0,142281.504,142281.504,49536.0,0.3482,131200.0,129280.0,0.9221,0.9086,0,2,"(24, 2)|(23, 2)","(23, 2):23->10->4->7->2 || (24, 2):24->23->10->4->7->2",0.06,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,5,8,100600.0,35958.16,35958.16,27648.0,0.7689,27648.0,27648.0,0.7689,0.7689,0,1,"(5, 1)","(5, 1):5->8->1",0.026667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,6,8,100600.0,46384.719,46384.719,23936.0,0.516,23936.0,25856.0,0.516,0.5574,0,1,"(25, 2)","(25, 2):25->13->14->6->8->1->2",0.103333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,6,9,100600.0,47638.739,47638.739,46848.0,0.9834,22912.0,22912.0,0.481,0.481,0,2,"(15, 4)|(6, 4)","(6, 4):6->9->4 || (15, 4):15->6->9->4",0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,6,14,100600.0,36064.027,36064.027,23936.0,0.6637,23936.0,25856.0,0.6637,0.7169,0,1,"(25, 2)","(25, 2):25->13->14->6->8->1->2",0.106667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,6,15,100600.0,52229.751,52229.751,23936.0,0.4583,23936.0,23936.0,0.4583,0.4583,0,1,"(15, 4)","(15, 4):15->6->9->4",0.06,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,9,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,10,14,100600.0,80720.906,80720.906,78592.0,0.9736,78592.0,63104.0,0.9736,0.7818,0,4,"(12, 4)|(13, 3)|(11, 4)|(14, 4)","(11, 4):11->14->10->4 || (12, 4):12->14->10->4 || (13, 3):13->14->10->3 || (14, 4):14->10->4",0.05,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,10,23,100600.0,65245.114,65245.114,49536.0,0.7592,49536.0,47616.0,0.7592,0.7298,0,2,"(24, 2)|(23, 2)","(23, 2):23->10->4->7->2 || (24, 2):24->23->10->4->7->2",0.04,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,11,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,11,14,100600.0,32931.009,32931.009,23040.0,0.6996,23040.0,23040.0,0.6996,0.6996,0,1,"(11, 4)","(11, 4):11->14->10->4",0.066667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
